"cluster_size" "start" "end" "number" "p_value"
"X154" 62 154 215 21 7.38710810854481e-14
"X156" 60 156 215 20 8.2743602014866e-13
"X154" 61 154 214 20 1.12158757942627e-12
"X158" 58 158 215 19 8.14227359766599e-12
"X156" 59 156 214 19 1.09454697605759e-11
"X166" 50 166 215 18 1.12415708239691e-11
"X154" 55 154 208 18 5.33177916920895e-11
"X168" 48 168 215 17 9.38488071669344e-11
"X158" 57 158 214 18 9.52203088645845e-11
"X166" 49 166 214 17 1.28723433062808e-10
"X156" 53 156 208 17 4.25998423108883e-10
"X154" 46 154 199 16 7.15537064683459e-10
"X168" 47 168 214 16 9.72592710788114e-10
"X177" 39 177 215 15 1.00503635161258e-09
"X158" 51 158 208 16 3.10023902181752e-09
"X188" 28 188 215 13 3.32994260221165e-09
"X166" 43 166 208 15 3.70074801830604e-09
"X156" 44 156 199 15 5.02000502607592e-09
"X154" 45 154 198 15 6.75785950746089e-09
"X179" 37 179 215 14 6.85322256574081e-09
"X177" 38 177 214 14 9.53341803242524e-09
"X168" 41 168 208 14 2.42812765855723e-08
"X166" 34 166 199 13 3.13610263400458e-08
"X188" 27 188 214 12 3.16512265253728e-08
"X189" 27 189 215 12 3.16512265253728e-08
"X158" 42 158 199 14 3.26032770007976e-08
"X156" 43 156 198 14 4.34380292274698e-08
"X154" 44 154 197 14 5.74455180375508e-08
"X179" 36 179 214 13 6.01061030964045e-08
"X168" 32 168 199 12 1.89335707982314e-07
"X177" 32 177 208 12 1.89335707982314e-07
"X154" 41 154 194 13 2.59501617227914e-07
"X158" 41 158 198 13 2.59501617227914e-07
"X166" 33 166 198 12 2.6070681962544e-07
"X189" 26 189 214 11 2.76143465317513e-07
"X156" 42 156 197 13 3.393317887764e-07
"X188" 21 188 208 10 4.868019950664e-07
"X154" 36 154 189 12 6.39537196449095e-07
"X177" 23 177 199 10 1.07673818991397e-06
"X179" 30 179 208 11 1.07715867631518e-06
"X188" 12 188 199 8 1.22989826295338e-06
"X156" 39 156 194 12 1.44594992624477e-06
"X168" 31 168 198 11 1.46588255879768e-06
"X158" 40 158 197 12 1.86783648411525e-06
"X166" 32 166 197 11 1.97273472432454e-06
"X156" 34 156 189 11 3.46462178843147e-06
"X154" 178 154 331 22 3.55532589248547e-06
"X189" 20 189 208 9 4.00967937611177e-06
"X154" 200 154 353 23 4.4056713569757e-06
"X179" 21 179 199 9 5.8460879039098e-06
"X158" 37 158 194 11 7.53310540307433e-06
"X166" 29 166 194 10 7.77843639604531e-06
"X177" 22 177 198 9 8.35418989581586e-06
"X194" 22 194 215 9 8.35418989581586e-06
"X168" 30 168 197 10 1.03277391801384e-05
"X188" 11 188 198 7 1.11767235364765e-05
"X189" 11 189 199 7 1.11767235364765e-05
"X166" 24 166 189 9 1.61793902703982e-05
"X158" 32 158 189 10 1.76409272208417e-05
"X156" 176 156 331 21 1.90552587166581e-05
"X156" 198 156 353 22 2.49359494560895e-05
"X197" 19 197 215 8 3.03994184227524e-05
"X168" 27 168 194 9 3.90176677892347e-05
"X179" 20 179 198 8 4.28825834535275e-05
"X177" 21 177 197 8 5.93261199205787e-05
"X194" 21 194 214 8 5.93261199205787e-05
"X188" 2 188 189 4 7.63455560182325e-05
"X168" 22 168 189 8 8.06461390205322e-05
"X158" 174 158 331 20 8.64031785611031e-05
"X188" 10 188 197 6 9.58907947171833e-05
"X189" 10 189 198 6 9.58907947171833e-05
"X158" 196 158 353 21 0.0001162513920313
"X166" 166 166 331 19 0.000203003586983665
"X177" 18 177 194 7 0.000210899376501933
"X197" 18 197 214 7 0.000210899376501933
"X198" 18 198 215 7 0.000210899376501933
