"cluster_size" "start" "end" "number" "p_value"
"X1344" 313 1344 1656 38 1.58268257471834e-15
"X1381" 276 1381 1656 36 1.77773742302091e-15
"X1381" 134 1381 1514 27 1.89375529370435e-15
"X1381" 225 1381 1605 33 2.22292638935794e-15
"X1344" 262 1344 1605 35 2.87624621123158e-15
"X1381" 153 1381 1533 28 4.6623787207775e-15
"X1344" 307 1344 1650 37 6.38697393674796e-15
"X1381" 270 1381 1650 35 7.0554672358699e-15
"X1349" 308 1349 1656 37 7.07203751319987e-15
"X1344" 171 1344 1514 29 7.95455811250858e-15
"X1381" 131 1381 1511 26 1.1297705755626e-14
"X1381" 205 1381 1585 31 1.17688545739507e-14
"X1349" 257 1349 1605 34 1.26100219566675e-14
"X1344" 190 1344 1533 30 1.33947623513072e-14
"X1300" 357 1300 1656 39 1.58232394946309e-14
"X1344" 242 1344 1585 33 1.73684141155477e-14
"X1344" 298 1344 1641 36 1.85414798683232e-14
"X1381" 261 1381 1641 34 1.96885323014891e-14
"X1381" 123 1381 1503 25 2.75738036347477e-14
"X1349" 302 1349 1650 36 2.77833460965645e-14
"X1349" 166 1349 1514 28 3.37136078234155e-14
"X1300" 306 1300 1605 36 4.13705900777148e-14
"X1344" 168 1344 1511 28 4.49962481671707e-14
"X1381" 113 1381 1493 24 4.52688692253042e-14
"X1349" 185 1349 1533 29 5.6690637744652e-14
"X1300" 351 1300 1650 38 6.2201681296098e-14
"X1385" 272 1385 1656 34 6.44007411532898e-14
"X1349" 237 1349 1585 32 7.37376166679759e-14
"X1349" 293 1349 1641 35 7.89946776187157e-14
"X1385" 221 1385 1605 31 8.57615729881773e-14
"X1385" 130 1385 1514 25 9.19885150087384e-14
"X1257" 400 1257 1656 40 1.00981075947843e-13
"X1381" 105 1381 1485 23 1.0299108446816e-13
"X1397" 118 1397 1514 24 1.12149611425074e-13
"X1344" 160 1344 1503 27 1.21324945388155e-13
"X1381" 94 1381 1474 22 1.23285601912114e-13
"X1397" 260 1397 1656 33 1.28465610616136e-13
"X1397" 209 1397 1605 30 1.53775480300303e-13
"X1300" 342 1300 1641 37 1.81999597758615e-13
