"cluster_size" "start" "end" "number" "p_value"
"X2081" 427 2081 2507 28 6.30814238655444e-09
"X2012" 496 2012 2507 30 6.86889534854838e-09
"X2108" 400 2108 2507 27 8.25950022439906e-09
"X2041" 467 2041 2507 29 8.89759090363861e-09
"X2081" 350 2081 2430 25 1.57677226606928e-08
"X2108" 323 2108 2430 24 1.83230242904801e-08
"X1252" 1256 1252 2507 46 1.92785145344012e-08
"X2012" 419 2012 2430 27 2.22447416339009e-08
"X2081" 421 2081 2501 27 2.46082372300936e-08
"X2041" 390 2041 2430 26 2.60086114469265e-08
"X2012" 490 2012 2501 29 2.6620441942035e-08
"X2108" 394 2108 2501 26 3.20350898939716e-08
"X2114" 394 2114 2507 26 3.20350898939716e-08
"X2406" 25 2406 2430 9 3.21389032854225e-08
"X2041" 461 2041 2501 28 3.41970304720429e-08
"X2202" 306 2202 2507 23 3.71205323655214e-08
"X1450" 1058 1450 2507 42 4.31657559395418e-08
"X2138" 370 2138 2507 25 4.7166960857599e-08
"X2202" 229 2202 2430 20 4.95788033975998e-08
"X1331" 1177 1331 2507 44 6.05787972596742e-08
"X2114" 317 2114 2430 23 7.04430812439547e-08
"X2138" 293 2138 2430 22 9.34239851337706e-08
"X1252" 1250 1252 2501 45 9.64877324657775e-08
"X2153" 355 2153 2507 24 1.09004079366547e-07
"X2212" 296 2212 2507 22 1.11393018211577e-07
"X2081" 420 2081 2500 26 1.16592536755721e-07
"X2114" 388 2114 2501 25 1.18820853711533e-07
"X2012" 489 2012 2500 28 1.2248435508727e-07
"X2202" 300 2202 2501 22 1.40355962791851e-07
"X1905" 603 1905 2507 31 1.44579524257538e-07
"X2212" 219 2212 2430 19 1.46490392698211e-07
"X2108" 393 2108 2500 25 1.52102292703746e-07
"X2041" 460 2041 2500 27 1.5709695079756e-07
"X1460" 1048 1460 2507 41 1.57636033292813e-07
"X2138" 364 2138 2501 24 1.73569319049465e-07
"X1450" 1052 1450 2501 41 1.7810654529613e-07
"X2153" 278 2153 2430 21 2.0484965558147e-07
"X1331" 1171 1331 2501 43 2.6300107110442e-07
"X1332" 1176 1332 2507 43 3.03919156966415e-07
"X2215" 1 2215 2215 4 3.29773845683441e-07
"X1252" 1179 1252 2430 43 3.31325873040733e-07
"X2081" 347 2081 2427 23 3.53723988087066e-07
"X1483" 1025 1483 2507 40 3.62717845105557e-07
"X2153" 349 2153 2501 23 3.91396749716575e-07
"X2212" 290 2212 2501 21 4.08202193174952e-07
"X2108" 320 2108 2427 22 4.21636699827976e-07
"X1450" 981 1450 2430 39 4.2548822383731e-07
"X1014" 1494 1014 2507 48 4.45985658274639e-07
"X2012" 416 2012 2427 25 4.5036379275075e-07
"X1080" 1428 1080 2507 47 4.52026157293058e-07
"X2215" 293 2215 2507 21 4.82278820118702e-07
"X1252" 1249 1252 2500 44 4.92011049317036e-07
"X2212" 4 2212 2215 5 4.96495583949764e-07
"X1905" 597 1905 2501 30 4.98459327068505e-07
"X2041" 387 2041 2427 24 5.3428065512227e-07
"X2114" 387 2114 2500 24 5.3428065512227e-07
"X1905" 526 1905 2430 28 5.74222335667943e-07
"X1460" 1042 1460 2501 40 6.00282293570038e-07
"X1514" 994 1514 2507 39 6.28556751057998e-07
"X2202" 299 2202 2500 21 6.68890875814224e-07
"X2215" 216 2215 2430 18 6.74939570545934e-07
"X2212" 9 2212 2220 6 6.99903487416019e-07
"X1331" 1100 1331 2430 41 7.33287829011092e-07
