"cluster_size" "start" "end" "number" "p_value"
"X306" 179 306 484 291 2.17148953101562e-239
"X308" 177 308 484 287 1.34589556084477e-234
"X310" 175 310 484 286 1.9336812064696e-234
"X306" 176 306 481 285 3.18289755245828e-232
"X320" 165 320 484 278 3.05338776171313e-229
"X321" 164 321 484 277 1.95153564597988e-228
"X308" 174 308 481 281 1.61108621754584e-227
"X306" 172 306 477 280 2.23241633747156e-227
"X310" 172 310 481 280 2.23241633747156e-227
"X306" 201 306 506 292 1.19552951337012e-226
"X306" 167 306 472 277 2.56837507615976e-226
"X313" 172 313 484 279 7.1790777452268e-226
"X282" 203 282 484 292 1.97416112966414e-225
"X323" 162 323 484 274 2.50996950419893e-225
"X306" 171 306 476 278 4.72922453833482e-225
"X306" 166 306 471 275 5.24473962216596e-224
"X308" 170 308 477 276 9.70820451112249e-223
"X310" 168 310 477 275 1.28283668013528e-222
"X320" 162 320 481 272 2.5369171306291e-222
"X308" 199 308 506 288 6.66470735337823e-222
"X308" 165 308 472 273 1.03870899745179e-221
"X310" 197 310 506 287 1.21594937168184e-221
"X310" 163 310 472 272 1.2880466953301e-221
"X321" 161 321 481 271 1.55545832623857e-221
"X308" 169 308 476 274 1.93217103137921e-220
"X310" 167 310 476 273 2.52579798134498e-220
"X308" 164 308 471 271 1.99609695690573e-219
"X310" 162 310 471 270 2.44923965729509e-219
"X313" 169 313 481 273 5.9035938260902e-219
"X323" 159 323 481 268 1.75563666425607e-218
"X282" 200 282 481 286 2.4122416978996e-218
"X320" 158 320 477 267 1.04420519825465e-217
"X324" 161 324 484 268 4.5224349162759e-217
"X306" 220 306 525 293 5.10971697700789e-217
"X321" 157 321 477 266 6.15816379365653e-217
"X320" 153 320 472 264 7.51027242335885e-217
"X321" 152 321 472 263 4.28110836579089e-216
"X320" 187 320 506 279 4.75756271583965e-216
"X320" 157 320 476 265 1.8596644778451e-215
"X321" 186 321 506 278 3.26631336955369e-215
"X325" 160 325 484 266 8.1124478654359e-215
"X321" 156 321 476 264 1.08280924946814e-214
"X320" 152 320 471 262 1.29449261149656e-214
"X313" 165 313 477 268 2.64980978651513e-214
